book_id;book_name;isbn;publisher;year;author_id;genre_id
1;"Harry Potter and the Sorcerer's Stone";"9780590353427";"Scholastic, Inc.";1999;1;1
2;"Harry Potter and the Goblet of Fire";"9780545582957";"Scholastic, Inc.";2013;1;1
3;"Solaris";"9780156027601";"Mariner";2002;3;4
4;"The Invincible";"9788363471545";"Pro Auctore Wojciech Zemek";2017;3;4 
5;"Anna Karenina";"9780679783305";"Modern Library";2000;2;3
6;"War and Peace";"9781400079988";"Vintage";2008;2;3
7;"Eugene Onegin: A Novel in Verse";"9780199538645";"Oxford University Press";2009;4;5
